"","nonViolent","Violent","medInc","pUnPov","notHSG","unem","meanFam","tPar","unmarry","foren","raceM","buget","age1","age2","age3","age4","divo","nevMa","dens","pubTran","workM","af","ca","as","hi","medRent","largeHH","urban","sq","logunem","logunmarry","logmedInc","logforen","logden","logaf","loghi","logmedRent","loglargeHH","logurban","logpubTran","crpubTran","ctPar","cnotHSG"
"63",1110,1715,22032,19.3,27.67,8.85,3.13,62.32,5.55,2.32,218,230,15.17,28.31,14.98,14.58,11.19,35.65,4772.8,3.82,64.13,12.04,86.05,0.47,2.4,231,5.85,100,41.4125584816973,2.18041745901984,1.71379792775834,10.0002512209684,0.841567185678219,8.47068841376048,2.48823443988067,0.8754687373539,5.44241771052179,1.76644166124377,4.60616968632117,1.34025042261848,1.56322366478619,242037.319168,21184.951663
"64",1784,1,26809,16.12,23.55,7.35,3.2,62.73,8.28,3.94,147,317,14.61,30.18,15.13,11.21,10.74,36.2,4124.7,3.39,68.28,18.54,76.39,1.14,4.97,346,6.93,100,1,1.99470031322475,2.11384296839717,10.1964929310193,1.37118072330984,8.3247485688513,2.91993056013771,1.60341984010854,5.84643877505772,1.93585981320181,4.60616968632117,1.22082992139236,1.50221893814599,246845.868417,13060.888875
"65",1796,26,25106,17.13,20.8,6.77,3,62.31,5.65,7.42,262,140,11.31,25.92,11.86,12.22,14.85,36.79,2944.6,8.19,69.26,12.84,72.11,2.35,22.96,339,5.49,99.99,5.09901951359278,1.91250108692418,1.73165554515835,10.1308621403782,2.00417905717929,7.98772826343131,2.55256529826182,3.13375357145137,5.82600010738045,1.70292825552144,4.60606978123093,2.10291389786498,2.01570961425934,241920.824391,8998.912
"66",1645,49,25918,15.96,18.56,7.25,3.15,71.91,4.68,2.54,202,252,15.32,30.2,14.54,8.11,10.48,26.78,1338.2,0.28,70.01,18.06,79.32,1.51,2.63,293,4.28,100,7,1.98100146886658,1.54329810992956,10.1626929869954,0.932164081030445,7.19908070634872,2.89369954798884,0.966983846189673,5.68017260901707,1.45395300959371,4.60616968632117,-1.27296567581289,0.654213262037718,371850.068871,6393.430016
"67",1798,1848,22210,20.93,38.62,6.47,3.2,54.51,11.97,4.14,73,8,16.38,32.09,16.79,11.04,12.45,42.38,7270.3,5.48,62.08,12.24,70.87,1.96,20.56,329,8.4,100,42.9883705204094,1.86717610851281,2.48240351956988,10.0082979168885,1.42069578783722,8.89155283515072,2.50470927708418,3.02334744058696,5.79605775076537,2.12823170584927,4.60616968632117,1.70110510095992,1.7630319638986,161967.748851,57601.899928
"68",1560,1864,21225,23.57,30.58,10.56,3.17,62.74,5.87,0.9,98,234,15.19,27.58,14.01,12.09,11.35,31.55,2123.3,0.93,61.62,41.64,57.3,0.53,1.15,254,6.25,100,43.1740662898458,2.35707327827812,1.76985463384001,9.96293501117955,-0.105360515657826,7.66072676118775,3.72906124374677,0.139761942375159,5.53733426701854,1.83258146374831,4.60616968632117,-0.0725706928348354,0.976100007668508,246963.938824,28596.471112
"69",1504,1808,27469,14.04,20.66,5.93,3.08,68.16,6.41,4.08,91,272,13.82,31.25,14.76,8.59,10.56,29.87,2401.8,2.9,66.56,33.57,62.58,2.33,2.77,368,3.94,100,42.5205832509386,1.78002421300963,1.85785927093258,10.2208133750776,1.40609698841607,7.78397373522658,3.51363281099194,1.01884732019925,5.90808293816893,1.37118072330984,4.60616968632117,1.06471073699243,1.42604314714241,316656.746496,8818.423496
"70",1079,1188,35786,4.84,22.18,5.44,3.08,81.43,1.18,4.23,306,81,12.1,24.16,11.21,15.12,7.91,28.01,2322.5,1.76,72.52,0.79,97.97,0.83,0.99,511,3.67,100,34.4673758792282,1.69377906086785,0.165514438477573,10.4853120344518,1.44220199305819,7.75039947068799,-0.23572233352107,-0.0100503358535015,6.2363695902037,1.30019166206648,4.60616968632117,0.56531380905006,1.20736214735954,539949.700207,10911.504232
"71",757,381,58769,2.27,11.99,3.86,3.26,89.38,0.57,13.99,44,10,13.54,25.63,12.2,8.2,4.55,28.36,1910.5,10,67.74,2.23,88.14,9.06,2.86,684,4.34,100,19.5192212959431,1.35066718347674,-0.562118918153541,10.9813697839778,2.63834278867739,7.55512026688695,0.802001585472027,1.05082162483176,6.52795791762255,1.46787434811231,4.60616968632117,2.30258509299405,2.15443469003188,714037.549672,1723.683599
"72",1369,976,29420,16.05,9.38,3.52,2.92,73.9,2.85,5.7,281,85,18.9,38,23.7,8.17,7.72,47.42,3196.2,7.74,78.05,4.24,90.72,3.91,2.03,430,2.98,100,31.2409987036266,1.25846098961001,1.04731899428056,10.2894299941554,1.7404661748405,8.06971788315101,1.44456326924387,0.708035793053696,6.06378520868761,1.09192330051731,4.60616968632117,2.04640168760164,1.97809427900149,403583.419,825.293672
"73",1903,235,27631,16.12,41.52,9.91,3.35,63.73,9.04,36.9,83,133,13.56,28.63,13.69,10.89,10.05,38.32,8617.3,10.61,65.04,19.85,65.54,2.73,39.14,456,8.86,100,15.3297097167559,2.2935443483419,2.20165917440409,10.2266936098069,3.60821155104648,9.06152708953452,2.9882040071332,3.66714496196793,6.12249280951439,2.18154676461699,4.60616968632117,2.36179695262589,2.19737980069254,258840.217117,71576.759808
"74",1748,407,26960,18.54,45.12,11.04,3.63,55.05,13.92,25.09,25,338,16.36,31.29,15.64,8.77,10.4,42.05,16110.7,10.55,67.56,36.01,41.15,1.44,40.96,444,14.25,100,20.174241001832,2.40152504084895,2.63332665490627,10.2021095650262,3.22246936037833,9.68723892649954,3.58379667766078,3.71259598073125,6.09582456243222,2.65675690671466,4.60616968632117,2.35612585992208,2.19322987617771,166829.162625,91855.945728
"75",1483,695,43800,5.58,5.82,3.03,2.94,79.33,1.11,13.29,259,58,12.34,26.4,12.55,9.53,9.06,30.94,3175.7,6.81,66.89,2.23,86.5,9.95,2.52,542,3.66,100,26.3628526529281,1.10856261952128,0.104360015324243,10.6873890963645,2.58701187272515,8.06328335946726,0.802001585472027,0.924258901523332,6.29526600143965,1.29746314741327,4.60616968632117,1.91839212016142,1.89546471385124,499243.435237,197.137368
"76",118,925,21898,26.17,23.24,9.35,3.18,58.08,9.92,2.97,61,6,18.18,32.79,19.12,10.39,10.33,40.74,2865.6,1.88,68.76,43.89,53.95,1.67,1.57,273,6.43,100,30.4138126514911,2.2353763433006,2.29455292129678,9.99415058743337,1.08856195281461,7.96053303130645,3.78168650370014,0.451075619360217,5.60947179518496,1.86097453824953,4.60616968632117,0.631271776841858,1.23420115855534,195920.474112,12551.868224
"77",1500,629,29881,16.47,34,10,3.62,57.06,11.89,28.9,7,170,15.49,32.09,15.48,6.13,11.74,42.29,11537.1,7.5,67.29,51.88,17.4,2.51,38.55,556,16.2,100,25.0798724079689,2.30258509299405,2.47569771070269,10.3049781058889,3.36384159511839,9.35332320865431,3.94893335944824,3.65195610000934,6.32076829425058,2.78501124223834,4.60616968632117,2.01490302054226,1.95743382058443,185778.435816,39304
"78",1033,1208,26770,13.39,19.15,5.42,3.08,73.03,2.83,2.4,252,270,13.75,28.94,13.74,11.22,9.48,31.71,2124.3,2.18,71.31,0.47,94.22,2.32,1.1,314,4.1,100,34.7562943939655,1.69009581545155,1.04027671165515,10.1950371365144,0.8754687373539,7.66119761532584,-0.755022584278033,0.0953101798043249,5.74939298590825,1.41098697371026,4.60616968632117,0.779324876800998,1.29663825697417,389496.807127,7022.735875
"79",1726,229,25708,14.99,17.74,6.09,2.96,68.73,3.66,3,182,111,13.38,27.1,13.31,11.4,12.78,28.45,1931.9,1.5,66.88,13.57,79.35,1.4,2.6,293,3.64,100,15.1327459504216,1.80664808172181,1.29746314741327,10.1545575064912,1.09861228866811,7.56625925359851,2.60786147384678,0.955511445027436,5.68017260901707,1.29198368164865,4.60616968632117,0.405465108108164,1.14471424255333,324667.660617,5582.912824
"80",1456,696,31911,8.99,25.06,7.07,3.01,71.67,2.99,6.77,295,290,12.69,29.69,14.17,12.17,10.74,33.47,2910.9,1.41,76.26,0.97,96.97,1.1,2.13,467,3.45,100,26.3818119165458,1.95586047990848,1.0952733874026,10.3707060569198,1.91250108692418,7.97621759069936,-0.0304592074847086,0.756121979721334,6.1463292576689,1.23837423104327,4.60616968632117,0.343589704390077,1.1213461704541,368139.326463,15737.770216
"81",1536,441,32132,18.43,40.4,9.08,3.96,71.83,7.14,31.57,42,71,16.1,32.83,16.31,6.19,8.9,39.85,5570.2,3.24,57.38,14.43,57.02,6.67,51.27,527,21.98,100,21,2.2060741926132,1.96571277635149,10.3776076972937,3.4522073025699,8.62518623891943,2.66930937278578,3.93710578579561,6.26720054854136,3.09013294897548,4.60616968632117,1.17557332980424,1.47972724459828,370610.397487,65939.264
"82",95,988,26889,14.62,18.05,5.26,3.04,64.44,6.51,2.07,120,222,13.54,27.86,13.17,11.13,11.93,31.08,1649.7,1.44,75.92,33.98,64.68,0.87,0.76,318,4.72,100,31.4324672910034,1.66013102674962,1.87333945622048,10.1994725600255,0.727548607277278,7.40834873218188,3.52577211624379,-0.27443684570176,5.76205138278018,1.55180879959746,4.60616968632117,0.364643113587909,1.12924323465723,267587.976384,5880.735125
"83",1542,1468,29211,16.09,27.3,7.29,3.37,76.48,5.11,10.54,214,147,12.49,24.83,11.68,17.97,7.12,28.58,1751.5,3.9,62,14.11,79.77,1.42,10.32,513,10.49,97.87,38.314488121336,1.98650354602057,1.63119940421561,10.2823006296469,2.35517754311322,7.46822784263754,2.64688376586472,2.33408376005342,6.24027584517077,2.35042242240821,4.58466130935655,1.3609765531356,1.57406091663144,447346.081792,20346.417
"84",70,704,21824,21.73,26.15,4.82,3.14,62.54,8.65,2.31,112,284,17.41,41.2,23.19,5.31,13.12,41.14,1354.9,3.02,64.55,34.35,62.67,1.63,2.48,319,5.18,100,26.5329983228432,1.57277392806251,2.15755932094379,9.99076556064319,0.837247524533702,7.21148292985239,3.53660201866836,0.908258560176891,5.76519110278484,1.64480505627139,4.60616968632117,1.10525683138678,1.44544747339436,244609.675064,17881.958375
"85",40,532,24898,15.48,30.7,8.23,3.14,61.82,7.52,37.18,93,104,11.61,26.48,12,13.09,13.98,33.22,5728.5,7.87,76.96,31.88,62.42,2.41,24.56,423,8.32,100,23.0651251893416,2.10778601468898,2.01756613796175,10.1225427579417,3.6157709822933,8.65320899533368,3.46197885392201,3.20111910327894,6.04737217904628,2.11866225483312,4.60616968632117,2.06305806242931,1.98910745054782,236258.260568,28934.443
"86",78,315,23270,22.68,24.97,8.79,3.27,57.38,10.76,1.02,100,286,16.18,29.7,15.17,10.48,10.91,36.89,1741.2,1.86,75.56,55.75,43.57,0.5,0.45,290,7.57,100,17.7482393492988,2.17361471169709,2.37583555473364,10.0549202562963,0.0198026272961797,7.46232980967814,4.02087741034023,-0.798507696217772,5.66988092298052,2.02419306744936,4.60616968632117,0.62057648772511,1.2298089464641,188921.607272,15568.817473
"87",2078,442,19779,26.53,31.66,10.39,3.1,49.22,10.87,1.43,59,159,15.22,29.63,15.68,12.01,15.52,38.43,3194.8,7.48,58.68,40.43,58.37,0.64,0.74,253,6.17,100,21.0237960416286,2.34084380511114,2.38600670113312,9.89237604778141,0.357674444271816,8.06927976704323,3.69957208365268,-0.301105092783922,5.53338948872752,1.8196988379173,4.60616968632117,2.01223279198639,1.95569233050084,119240.785448,31734.578296
"88",1458,1072,44004,7.68,19.69,5.02,3.05,73.04,6.71,21.17,151,203,10.76,24.85,11.54,13.51,8.16,36.51,4794.1,18.8,69.55,19.03,73.65,3.07,14.16,545,6.36,100,32.7414110874898,1.61342993370364,1.90359895098359,10.6920358178593,3.05258508514677,8.47514127418437,2.94601668130806,2.65042108826557,6.30078579466324,1.85002837735203,4.60616968632117,2.9338568698359,2.65900579046917,389656.830464,7633.736209
"89",1805,24,23460,25.32,34.67,9.85,3.63,72.19,3.76,23.37,316,238,17.84,31.16,15.53,8,8.69,31.32,2027.3,3.13,57.49,3.44,76.87,1.16,69.02,303,12.4,99.97,4.89897948556636,2.287471455184,1.3244189574018,10.0630521222075,3.15145314855077,7.61446013747415,1.23547147138531,4.23439631766986,5.71373280550937,2.51769647261099,4.60586994110236,1.14103300455206,1.46278819167892,376210.684459,41673.648563
"90",1791,975,19118,20.43,27.66,8.33,2.98,65.58,2.78,2.5,202,224,18.99,32.55,20.49,14.68,12.68,38.56,2006.2,1.25,68.92,9.42,88.63,1.14,1.31,224,4.05,100,31.224989991992,2.11986345617875,1.02245092770255,9.85838557862371,0.916290731874155,7.60399766444938,2.24283508858827,0.27002713721306,5.41164605185504,1.39871688111845,4.60616968632117,0.22314355131421,1.07721734501594,282042.293112,21161.991096
"91",2058,942,25533,22.79,31.91,10.69,3.43,61.49,7.94,15.47,30,231,14.78,30.37,14.56,9,13.11,34.9,2876.8,1.72,55.83,16.01,60.64,4,34.57,422,11.74,100,30.6920185064456,2.36930872503695,2.07191327525904,10.1477270121451,2.73890266458497,7.9644338442773,2.77321352700862,3.54298625393353,6.04500531403601,2.46300181439995,4.60616968632117,0.542324290825362,1.19814528297902,232494.925949,32492.296871
"92",5,123,22785,23.5,31.21,8.8,3.14,46.1,14.34,6.23,114,193,13.87,31.43,15.28,10.4,13.21,45.78,6248.1,10.77,63.2,31.53,61.09,1.76,8.66,377,6.99,100,11.0905365064094,2.17475172148416,2.66305283517147,10.033857703698,1.82937633279936,8.74003269651308,3.45093947355697,2.15871472257434,5.93224518744801,1.94448055624572,4.60616968632117,2.3767644911683,2.20837031701046,97972.181,30400.540561
"93",1319,713,25165,15.04,12.86,6.05,2.98,75.6,1.3,4.32,198,229,20.19,37.58,23.27,7.38,8.99,40.25,436.6,1.22,72.12,3.57,87.49,3.21,2.38,294,3.03,92.66,26.7020598456374,1.80005827204275,0.262364264467491,10.1332094192105,1.46325540225602,6.07901744411584,1.27256559579155,0.867100487683383,5.68357976733868,1.10856261952128,4.53001551238733,0.198850858745165,1.06852973014888,432081.216,2126.781656
"94",1932,196,29351,17.99,34.21,10.68,3.3,62.75,5.62,16.43,164,330,15.34,32.56,16.73,10.69,9.04,42.34,7247.1,2.95,64.18,2.39,81.07,11.11,10.15,494,8.41,100,14,2.36837283353205,1.7263316639056,10.2870818962261,2.79910893204918,8.88835666782738,0.871293365943419,2.3174737054878,6.20253551718792,2.12942147398486,4.60616968632117,1.08180517035173,1.43419214201712,247082.046875,40036.787461
"95",1965,406,26218,15.59,21.19,6.51,3.08,68,5.04,2.46,241,302,14.14,27.75,13.47,11.3,10.16,30.8,1499.7,1.06,69.95,7.89,89.13,1.05,3.46,283,4.64,99.68,20.1494416796099,1.87333945622048,1.61740608208328,10.1742014767578,0.900161349944271,7.31302036708763,2.06559613485778,1.24126858906963,5.64544689764324,1.53471436623816,4.60296776243289,0.0582689081239758,1.01961282242222,314432,9514.651159
"96",1486,1803,32451,11.8,13.44,3.97,2.92,69.26,6.06,5.02,121,310,15.95,35.77,19.54,7.94,9.84,42.21,2277.5,2.79,72.95,27.58,69.18,2.47,1.41,394,3.13,100,42.4617474911243,1.3787660946991,1.80170980008122,10.3874865382984,1.61342993370364,7.73083362913411,3.31709087236516,0.343589704390077,5.97635090929793,1.14103300455206,4.60616968632117,1.02604159583327,1.40777981663696,332236.590776,2427.715584
"97",85,1048,17386,36.56,50.33,16.3,3.71,32.86,24.19,3.93,15,169,17.6,31.78,15.89,7.72,13.69,51.26,9575.4,18.34,54.73,56.42,19,1.32,31.17,323,16.47,100,32.3728281124773,2.79116510781272,3.18593932462194,9.76342056363901,1.36863942588117,9.1669525886332,4.03282370557385,3.43945609377925,5.77765232322266,2.80154054418955,4.60616968632117,2.90908446682832,2.63713954029622,35481.557656,127491.370937
"98",1188,245,28034,22.51,55.72,9.4,4.24,68.91,9.19,48.42,122,105,18.21,35.51,18.15,5.84,7.45,42.66,10789.2,6.47,51.27,0.99,62.23,11.76,72.49,541,28.02,100,15.6524758424985,2.24070968927596,2.2181159363676,10.241173338223,3.87991295150991,9.28630091277873,-0.0100503358535015,4.28344862131279,6.29341927884648,3.33291854090886,4.60616968632117,1.86717610851281,1.86337998744628,327225.205971,172994.909248
"99",2098,1496,25414,17.93,17.67,6.32,3.09,68.53,4.49,8.51,264,339,16.73,35.98,19.84,6.63,11.1,43.04,2063.8,5.04,73.16,12.43,70.56,3.04,22.95,346,5.83,100,38.6781592116274,1.84371920815877,1.50185270175416,10.1430554822645,2.14124194258528,7.63230422268161,2.52011290552262,3.13331793650655,5.84643877505772,1.7630170003624,4.60616968632117,1.61740608208328,1.71452377646268,321841.612477,5517.084663
"100",503,306,47482,3.47,16.79,4.49,3.24,84.91,1.2,11.76,46,65,12.59,26.78,12.12,8.07,6.05,29.04,1434,13.8,63.56,3.35,89.44,6.14,5.01,577,4.47,97.18,17.4928556845359,1.50185270175416,0.182321556793955,10.7681059708356,2.46470394247048,7.26822302115957,1.20896034583698,1.61143591509677,6.3578422665081,1.49738840862548,4.57759341821786,2.62466859216316,2.39861030657984,612176.314771,4733.169839
"101",1331,1464,22591,16.08,32.03,5.47,2.91,60.93,6.48,1.57,77,322,11.78,25.45,12.17,15,13.47,30.1,2168.8,2.96,69.6,24.27,74.59,0.74,0.69,278,3.82,100,38.262252939418,1.69927861643389,1.86872051036418,10.0253068758572,0.451075619360217,7.68192929818446,3.18924101973851,-0.371063681390832,5.62762111369064,1.34025042261848,4.60616968632117,1.08518926833597,1.43581087041366,226200.486357,32860.246427
"102",6,771,26713,15.32,21.2,7.23,3.08,61.2,7.41,2.85,107,190,12.71,27.17,12.5,11.44,13.42,33.59,1348.3,5.78,74,29.59,66.78,1.2,3.91,324,5.78,99.63,27.7668867538296,1.97823903617067,2.002830439308,10.192905617281,1.04731899428056,7.20659981864003,3.38743646641212,1.36353737399727,5.78074351579233,1.75440368268429,4.60246653441378,1.75440368268429,1.7946342263626,229220.928,9528.128
"103",1159,1676,36376,11.03,26.45,6.48,3.17,66.68,6.18,20.24,128,194,12.05,25.74,12.25,14.86,7.24,35.15,10040.9,23.23,58.15,14.11,76.21,3,16.74,482,6.69,100,40.9389789809174,1.86872051036418,1.8213182714696,10.5016644955048,3.00766084441926,9.21442203066243,2.64688376586472,2.81780106506133,6.1779441140506,1.90061387414014,4.60616968632117,3.14544454678232,2.85331511231462,296474.109632,18504.486125
"104",1484,1063,42314,5.51,11.56,3.29,2.78,81.02,0.98,13.33,284,124,11.1,21.72,11.1,18.96,8.39,27.41,2183.4,0.56,62.4,2.9,94.38,1.9,5.59,581,2.36,100,32.6036807738022,1.19088756477728,-0.0202027073175195,10.6528732795433,2.59001713419062,7.68863857384617,1.06471073699243,1.72097928716701,6.36475075685191,0.858661619037519,4.60616968632117,-0.579818495252942,0.824257059961711,531834.757208,1544.804416
"105",936,1559,46206,9.31,22.84,5.54,3.5,74.89,3.89,26.47,153,214,14.34,30.37,14.46,6.56,9.68,37.23,4408.8,3.58,66.95,4.7,62.8,19.54,26.64,692,12.42,100,39.4841740447993,1.71199450075919,1.35840915763035,10.7408649387673,3.27601201623901,8.39135782256903,1.54756250871601,3.28241384567219,6.53958595561767,2.51930807650533,4.60616968632117,1.27536280041261,1.52977540952735,420021.471169,11914.842304
"106",75,1020,22423,21.79,34.09,6.9,3.11,52.37,11.18,2.37,21,57,16.06,28.38,15.86,13.9,12.81,35.33,2319,2.39,72.6,45.63,53.11,0.91,0.78,257,5.94,100,31.9374388453426,1.93152141160321,2.41412646772695,10.0178424967735,0.86288995514704,7.74889133725553,3.82056539493931,-0.2484613592985,5.54907608489522,1.78170913337455,4.60616968632117,0.871293365943419,1.33700377550793,143630.847053,39616.946929
"107",1885,517,31873,10.83,19.02,4.16,3.05,67.14,6.75,3.82,82,150,13.02,28.82,13.38,8.89,11.21,33.07,2193.2,4.44,72.7,31.78,65.61,1.82,1.41,377,4.26,100,22.7376340018041,1.42551507427317,1.90954250488444,10.3695145353941,1.34025042261848,7.69311694352989,3.45883716110857,0.343589704390077,5.93224518744801,1.44926916028128,4.60616968632117,1.49065437644413,1.64359315297542,302652.322344,6880.682808
"108",2007,577,22197,18.18,31.04,6.9,2.99,59.57,7.21,1.69,116,110,13.77,26.7,13.56,13.57,13.36,30.6,1242.6,3.06,66.87,33.67,64.97,0.97,0.64,271,4.27,100,24.0208242989286,1.93152141160321,1.97546895129686,10.0077124235937,0.524728528934982,7.12496123762959,3.51660723317298,-0.446287102628419,5.6021188208797,1.45161382724053,4.60616968632117,1.11841491596429,1.45180117032475,211389.202493,29906.468864
"109",1013,1867,32605,16.42,30.03,6.15,3.49,74.34,2.78,51.82,67,62,13.89,28.54,14.13,12.85,6.1,36.87,7676.7,4.88,57.29,0.64,26.75,57.46,31.33,606,11.86,100,43.2087954009366,1.81645208181843,1.02245092770255,10.3922209298273,3.94777617513396,8.94594504629959,-0.446287102628419,3.4445761049641,6.40687998606931,2.47317139356958,4.60616968632117,1.58514521986506,1.69618521769762,410835.222504,27081.081027
"110",897,1357,36991,8.05,23.71,5.43,3.19,72.32,3.62,25.93,148,32,14,28.25,13.72,12.31,10.96,31.84,7097.5,1.8,66.87,3.36,72.53,8.83,32.34,602,7.56,100,36.8374809127877,1.69193913394584,1.28647402583768,10.5184299187947,3.25540059955057,8.86749788834713,1.21194097397511,3.47630485414896,6.40025744530882,2.02287119019144,4.60616968632117,0.587786664902119,1.21644039911468,378246.791168,13328.910811
"111",1951,51,22446,22.43,25.16,9.13,3.15,61.16,7.64,2.1,86,228,15.09,27.92,13.99,12.37,11.13,32.54,1605.1,1.59,68.03,38.93,59.62,1.01,1.02,248,5.66,100,7.14142842854285,2.21156569460688,2.03339760317843,10.0188677035762,0.741937344729377,7.38094133891917,3.66176516162236,0.0198026272961797,5.51342874616498,1.73342389221509,4.60616968632117,0.46373401623214,1.16716531971671,228771.768896,15926.924096
"112",2096,650,23216,21.17,23.98,5.87,3.04,56.43,9.55,3.28,3,100,21.95,39.87,25.32,10.63,11.07,48.49,808,4.77,73.6,43.69,53.67,1.43,1.98,302,5.32,97.73,25.4950975679639,1.76985463384001,2.25654115449264,10.052596975124,1.18784342239605,6.69456205852109,3.77711924296334,0.683096844706444,5.71042701737487,1.67147330335355,4.58323127846934,1.56234630490025,1.68334368083914,179692.582707,13789.468792
"113",1398,829,43832,5.76,23.53,5.4,3.16,78.27,2.97,15,49,182,13.01,28.95,13.89,10.16,8.75,34.16,1502.8,2.4,69.09,6.57,86.75,3.94,7.69,589,5.28,100,28.7923600977759,1.68639895357023,1.08856195281461,10.6881194232183,2.70805020110221,7.31508531369981,1.88251383249652,2.03992078351755,6.37842618365159,1.66392609771817,4.60616968632117,0.8754687373539,1.33886590016434,479497.118283,13027.640977
"114",1941,83,26630,17.26,21.31,5.91,3.05,63.29,7.23,3.71,174,83,15.17,34.21,17.87,8.22,11.77,40.01,3224.5,4.72,68.48,22.57,74.4,2.37,1.07,348,4.82,100,9.1104335791443,1.77664583141801,1.97823903617067,10.189793678808,1.31103187661934,8.07853317845043,3.11662159082944,0.0676586484738149,5.85220247977447,1.57277392806251,4.60616968632117,1.55180879959746,1.67744130530543,253515.949289,9677.214091
"115",1162,1455,36945,8.83,21.96,7.13,3.1,72.16,3.86,5.74,317,316,12.13,27.84,12.58,12.17,8.88,31.99,1489.1,2.57,72.1,2.01,94.86,0.84,5.28,504,4.35,100,38.1444622455213,1.9643112344262,1.35066718347674,10.5171855992227,1.74745921033147,7.30592718959616,0.698134722070984,1.66392609771817,6.22257626807137,1.47017584510059,4.60616968632117,0.943905898907128,1.36975966800264,375741.853696,10590.025536
"116",1310,1953,37174,12.52,38.66,6.71,3.92,74.37,4.93,31.39,108,337,16.52,31.94,15.84,7.12,8.76,34.79,5616.7,1.07,68.04,5.25,58.66,8.58,54.37,634,20.74,100,44.1927595879687,1.90359895098359,1.5953389880546,10.5233648711683,3.44648937085386,8.63349958181289,1.65822807660353,3.99581253115783,6.45204895443723,3.03206420280138,4.60616968632117,0.0676586484738149,1.02280912176967,411332.802453,57781.065896
"117",1769,1,26261,20.74,29.52,8.18,3.33,64.89,6.91,17.81,81,79,14.4,30.53,14.73,7.54,12.72,36.66,2915.3,6.54,64.15,28.09,52.69,4.12,27.63,328,9.93,100,1,2.10169215061466,1.93296963777958,10.1758402278629,2.87976009730157,7.97772800944108,3.33541364111615,3.31890213893533,5.79301360838414,2.29556047805708,4.60616968632117,1.87793716546911,1.87007596896515,273233.108169,25724.625408
"118",1584,1956,33140,10.7,15.65,5.15,2.9,63.59,5.54,22.29,187,173,16.46,37.35,21.42,9.16,7.59,57,14370.9,24.42,71.3,13.5,75.28,8.44,6.79,483,4.33,100,44.226688774992,1.63899671467564,1.71199450075919,10.4084962909806,3.10413814739778,9.57296060759203,2.60268968544438,1.9154509415706,6.18001665365257,1.4655675420144,4.60616968632117,3.19540246868256,2.90122817578004,257138.126279,3833.037125
"119",1742,1665,30121,12.8,35.25,7.84,3.01,61.37,5.99,16.48,167,92,13.43,30.11,15.54,15.26,9.17,39.17,5462.9,3,67.98,7.58,81.61,1.79,16.27,427,4.49,100,40.8044115262063,2.05923883436232,1.79009141212736,10.3129778818939,2.80214752448133,8.60573506326754,2.02551319965428,2.78932292123095,6.05678401322862,1.50185270175416,4.60616968632117,1.09861228866811,1.44224957030741,231136.413353,43800.328125
"120",2108,953,24045,21.87,39.35,9.16,3.24,43.59,15.29,3.19,20,195,13.23,27.66,13.55,12.39,14.08,43.68,8791.5,22.19,67.18,59.21,39.1,1.08,1.03,321,9.11,100,30.8706980808663,2.21484617868604,2.72719901994097,10.0876823537118,1.16002091679675,9.08154062458459,4.08109044654368,0.0295588022415444,5.77144112313002,2.20937271127187,4.60616968632117,3.0996417369445,2.81008269662023,82824.840279,60930.425375
"121",71,1678,22068,32.75,42.14,10.26,3.8,75.16,3,26.44,195,282,18.82,30.81,15.39,9.52,6.58,31.1,2501.5,0.55,58.94,0.34,70.94,0.69,76.97,283,16.21,100,40.9633982965281,2.32825283974262,1.09861228866811,10.0018838743923,3.27487801498349,7.82464583092826,-1.07880966137193,4.34341573554623,5.64544689764324,2.78562833574758,4.60616968632117,-0.59783700075562,0.819321270600646,424580.764096,74831.352344
"122",916,1,55752,3.61,13.43,4.16,3.04,85.36,0.46,7.89,12,73,14,24.96,14.22,15.01,5.29,31.6,1716.6,7.24,62.96,0.82,97.6,1.26,1.86,769,3.3,91.77,1,1.42551507427317,-0.776528789498996,10.9286685631184,2.06559613485778,7.44810086928412,-0.198450938723838,0.62057648772511,6.64509096950564,1.19392246847243,4.52037453428338,1.97962120639763,1.93454805417159,621961.094656,2422.300607
"123",1103,1094,39822,5.72,22.13,5.57,3.07,80.71,1.36,13.13,237,53,10.59,24.97,11.61,16.34,6.73,33.58,8173.9,9.85,67.42,4.3,89.06,5,5.13,541,4.32,100,33.0756708170825,1.71739505393919,0.307484699747961,10.592174802374,2.57489968831471,9.00870143013698,1.45861502269952,1.63510565918268,6.29341927884648,1.46325540225602,4.60616968632117,2.287471455184,2.14360820233555,525753.341911,10837.877597
"124",1332,678,24971,27.5,48.77,14.33,4.31,55.63,12.5,26.8,92,136,18.39,33.51,16.8,5.42,9.79,42.87,8588.5,6.38,53.92,54.83,10.58,1.93,43.68,477,27.96,100,26.0384331325831,2.66235524184008,2.52572864430826,10.1254704305296,3.28840188751681,9.05817937807708,4.00423748941596,3.77689033143665,6.16751649088834,3.33077491736561,4.60616968632117,1.8531680973567,1.85469952001445,172157.988547,116000.074133
"125",2000,444,22674,22.96,29.57,8.71,3.21,52.18,11.62,1.36,62,44,14.78,28.77,14.25,11.02,13.21,36.62,2300.9,4.69,72.25,54.84,44.01,0.79,0.73,282,7.36,100,21.0713075057055,2.16447179086441,2.45272775142377,10.0289741725775,0.307484699747961,7.74105562972549,4.00441985469411,-0.3147107448397,5.64190707093811,1.99605993274078,4.60616968632117,1.54543258245819,1.67387984808321,142073.220232,25855.561493
